0.0,0.0,0.0,27,165,179,36,*,180,181,185
0.25,0.25,0.1428571428571428,27,165,179,33,*,27,40,35,37
0.25,0.25,0.16666666666666663,57,36,224,205,*,57,57,217,53
0.0,0.0,0.0,28,29,32,36,*,179,33,45
0.0,0.0,0.0,27,29,32,35,*,53,42,48,224
0.0,0.0,0.0,191,193,195,196,*,202,36,35,42
0.0,0.0,0.0,29,191,196,154,*,135,40,247,57
0.0,0.0,0.0,26,27,29,32,*,227,48,52,53
0.0,0.0,0.0,27,165,179,33,*,189,26
0.0,0.0,0.0,27,29,32,36,*,44,31,47,72
0.0,0.0,0.0,27,165,179,35,*,189,40,154,276
0.0,0.0,0.0,248,210,224,25,*,29,191,36,40
0.0,0.0,0.0,27,165,179,33,*,189,25,241,202
0.0,0.0,0.0,27,165,179,33,*,29,362,380,30
0.0,0.0,0.0,27,165,179,33,*,135,114,138,139
0.0,0.0,0.0,28,165,179,36,*,202,241,41,245
0.0,0.0,0.0,28,29,32,35,*,202,30,46,126
0.0,0.0,0.0,177,29,30,32,*,27,135,21,157
0.0,0.0,0.0,28,165,179,36,*,74,244,290,297
0.0,0.0,0.0,36,35,40,49,*,205,57,245,27
0.0,0.0,0.1428571428571428,27,25,28,36,*,28,165,42,189
0.0,0.0,0.0,29,32,36,35,*,38,30,282
0.0,0.0,0.0,27,29,32,36,*,165,41
0.0,0.0,0.0,28,165,179,33,*,38,227,379
0.0,0.0,0.0,27,165,179,180,*,170,175,160,196
0.0,0.0,0.0,28,165,179,33,*,40,241,66,42
0.0,0.0,0.0,28,165,179,35,*,135,139,294,297
0.0,0.0,0.0,29,40,36,32,*,135,114,142,21
0.0,0.0,0.0,27,165,179,36,*,42,379,227,48
0.0,0.0,0.0,29,32,36,40,*,42,144,154,1
0.0,0.0,0.0,26,27,28,29,*,36,290,296,294
0.0,0.0,0.0,28,165,179,33,*,248,57,217,53
0.0,0.0,0.0,27,29,32,36,*,26,191,196,195
0.0,0.0,0.0,27,165,179,33,*,191,195,201,48
0.0,0.0,0.0,189,191,195,196,*,27,23,36,42
0.0,0.0,0.0,36,40,245,29,*,44,248,251,60
0.0,0.0,0.1428571428571428,27,29,32,35,*,29,36,202,299
0.0,0.0,0.0,28,165,179,35,*,248,70,102,107
0.0,0.0,0.0,135,40,36,115,*,165,33,27
0.0,0.0,0.0,28,27,165,179,*,25,182,184,40
0.0,0.0,0.1428571428571428,26,27,28,29,*,189,29,362,53
0.0,0.0,0.0,28,165,179,33,*,191,35,61,120
0.0,0.0,0.0,28,165,179,33,*,32,227,53,227
0.25,0.25,0.33333333333333326,29,32,36,35,*,35,362,36,115
0.0,0.0,0.0,27,165,179,36,*,189,195,30,44
0.0,0.0,0.0,26,27,165,179,*,362,227,228,229
0.0,0.0,0.0,27,165,179,36,*,362,30,31,379
0.0,0.0,0.0,177,29,32,30,*,23,33,23,170
0.0,0.0,0.0,27,191,196,154,*,25,28,31,49
0.0,0.0,0.0,29,40,224,36,*,191,193,164,73
0.0,0.0,0.0,27,165,179,33,*,44,40,35,42
0.0,0.0,0.0,28,165,179,33,*,25,26,27,189
0.0,0.0,0.0,29,40,57,36,*,362,53,202,44
0.0,0.0,0.0,32,35,30,189,*,362,60,249,113
0.0,0.0,0.0,29,32,179,180,*,48,35,362,30
0.0,0.0,0.0,27,165,179,180,*,362,29,191,193
0.0,0.0,0.1428571428571428,29,32,36,40,*,32,245,46,117
0.25,0.25,0.1428571428571428,27,165,179,33,*,27,44,42,72
0.0,0.0,0.0,179,165,33,35,*,248,202,244,40
0.0,0.0,0.0,179,34,45,53,*,30,36,44,47
0.0,0.0,0.0,28,165,179,33,*,135,27,48,244
0.0,0.0,0.0,28,165,179,33,*,53,182,241,202
0.0,0.0,0.0,34,25,27,42,*,28,323,344
0.0,0.0,0.0,28,165,179,36,*,32,35,245,41
0.0,0.0,0.0,29,32,35,36,*,213,221,112,314
0.0,0.0,0.0,165,179,33,34,*,191,195,201,154
0.0,0.0,0.0,27,165,179,35,*,36,146,30,28
0.0,0.0,0.1428571428571428,28,29,32,36,*,29,30,40,205
0.0,0.0,0.0,28,27,165,245,*,36,40,154
0.0,0.0,0.0,40,36,57,29,*,189,195,196,32
0.0,0.0,0.0,27,165,179,35,*,45,30,34,177
0.0,0.0,0.0,27,165,179,180,*,160,164,143,42
0.0,0.0,0.0,29,32,36,245,*,23,26,28,323
0.0,0.0,0.0,28,165,179,33,*,32,35,227,85
0.0,0.0,0.1428571428571428,27,224,36,209,*,245,36,28,362
0.0,0.0,0.0,27,165,179,33,*,245,296,285,73
0.0,0.0,0.1428571428571428,40,36,245,29,*,224,115,144,40
0.0,0.0,0.0,165,179,33,34,*,202,244,54,39
0.0,0.0,0.0,27,29,32,35,*,40,48,248,26
0.0,0.0,0.0,27,29,32,36,*,40,35,42,191
0.0,0.0,0.0,34,41,33,27,*,28,179,36,115
0.0,0.0,0.1428571428571428,34,41,33,27,*,33,119,45,53
0.0,0.0,0.0,29,209,224,36,*,23,127,112,138
0.0,0.0,0.0,34,45,53,42,*,31,49,227,84
0.0,0.0,0.1428571428571428,26,28,27,29,*,28,362,30,71
0.0,0.0,0.0,29,32,362,177,*,248,59,282
0.0,0.0,0.0,27,29,32,35,*,25,177,241,242
0.0,0.0,0.0,27,28,165,120,*,245,40,48,282
0.25,0.25,0.1428571428571428,28,27,165,179,*,28,30,247,224
0.0,0.0,0.0,26,29,32,27,*,41,242,220,160
0.0,0.0,0.1428571428571428,28,165,179,35,*,25,35,53,177
0.0,0.0,0.0,27,248,57,245,*,40,47,39,202
0.0,0.0,0.0,177,27,28,29,*,272
0.0,0.0,0.0,165,179,35,36,*,189,71,44,74
0.0,0.0,0.0,26,27,28,29,*,48,202,85,83
0.0,0.0,0.1428571428571428,40,27,29,32,*,48,40,75,209
0.0,0.0,0.0,34,41,42,25,*,28,177,48,189
0.0,0.0,0.0,27,165,179,36,*,135,116,137
0.0,0.0,0.0,28,165,179,33,*,44,244,71,44
0.0,0.0,0.0,26,27,29,166,*,139,73,120,143
