0.0,0.0,0.0,42,30,31,44,*,203,147,148
0.0,0.0,0.0,35,42,39,46,*,210,224,36,25
0.0,0.0,0.0,42,30,44,48,*,46,47,46,126
0.0,0.0,0.0,146,202,189,30,*,44,55,53,78
0.0,0.0,0.0,42,30,44,48,*,46,53,202,227
0.0,0.0,0.0,146,202,49,30,*,61,134,115,114
0.0,0.0,0.0,180,30,181,184,*,245,32,224,210
0.0,0.0,0.0,36,42,39,46,*,53,182,27,82
0.0,0.0,0.1428571428571428,362,177,30,31,*,31,32,224,209
0.0,0.0,0.0,42,28,36,46,*,30,285,362,53
0.0,0.0,0.0,35,146,44,48,*,28,40,241,66
0.25,0.25,0.1428571428571428,227,40,44,49,*,53,42,44,244
0.0,0.0,0.0,42,30,31,44,*,160,200,160,273
0.0,0.0,0.0,32,35,146,202,*,40,205,247,259
0.0,0.0,0.0,36,42,44,48,*,135,136,117,132
0.0,0.0,0.0,180,181,184,185,*,362,74,75,72
0.0,0.0,0.1428571428571428,42,41,45,53,*,45,46,31,49
0.0,0.0,0.0,42,41,202,45,*,28,241,190
0.0,0.0,0.0,203,210,207,209,*,45,120,61,331
0.0,0.0,0.0,42,30,31,44,*,39,202,56,66
0.0,0.0,0.1428571428571428,30,42,44,48,*,48,242,244,259
0.0,0.0,0.0,35,36,42,44,*,49,53,197,201
0.0,0.0,0.0,29,32,35,189,*,30,34,214,212
0.0,0.0,0.0,32,35,40,44,*,220,213,39
0.0,0.0,0.0,30,42,41,45,*,25,182,184,40
0.0,0.0,0.1428571428571428,26,27,165,179,*,27,29,362,53
0.0,0.0,0.0,42,45,41,53,*,24,25,73,97
0.0,0.0,0.0,35,202,44,48,*,191,42,30,58
0.0,0.0,0.4,44,40,40,48,*,205,224,48,44
0.0,0.0,0.0,184,185,188,35,*,182,183,36,115
0.0,0.0,0.0,184,36,35,38,*,25,44,143,57
0.0,0.0,0.1428571428571428,146,202,189,30,*,189,70,82,36
0.0,0.0,0.0,42,39,28,36,*,69,97,61,202
0.0,0.0,0.0,28,36,39,46,*,23,24
0.0,0.0,0.0,64,66,78,278,*,41,192,193
0.0,0.0,0.1428571428571428,42,28,45,53,*,179,25,28,31
0.0,0.0,0.1428571428571428,35,42,325,46,*,28,63,32,35
0.0,0.0,0.0,28,45,41,53,*,35,44,47,96
0.25,0.25,0.1428571428571428,42,30,31,44,*,42,23,25,26
0.0,0.0,0.0,30,31,42,362,*,85,92,379,74
0.0,0.0,0.0,45,41,53,241,*,72,95,109,249
0.0,0.0,0.0,28,36,30,44,*,61,136,138,113
0.0,0.0,0.1428571428571428,30,42,362,189,*,115,202,299,30
0.25,0.25,0.1428571428571428,179,180,181,183,*,179,25,73,136
0.0,0.0,0.0,35,30,49,40,*,224,82,25,32
0.0,0.0,0.0,36,28,44,48,*,210,209,178,220
0.0,0.0,0.0,184,185,28,36,*,25,27,48,189
0.0,0.0,0.0,49,40,44,48,*,245,244,246,94
0.0,0.0,0.0,42,41,45,46,*,177,30,247,248
0.0,0.0,0.0,45,53,241,242,*,38,49,225
0.0,0.0,0.0,35,30,49,44,*,27,33,241
0.0,0.0,0.0,35,42,45,53,*,29,36,30,46
0.0,0.0,0.0,82,44,48,40,*,42,211,219,114
0.0,0.0,0.0,40,44,49,30,*,115,305,139,117
0.0,0.0,0.0,42,28,189,45,*,74,71,61,127
0.0,0.0,0.0,42,28,45,53,*,23,26,177,26
0.0,0.0,0.0,35,202,203,207,*,28,31,362,177
0.25,0.25,0.19999999999999996,27,25,189,190,*,27,213
0.0,0.0,0.0,36,35,44,48,*,227,49,225,189
0.0,0.0,0.0,189,180,181,184,*,202,379,31,329
0.0,0.0,0.0,40,44,48,49,*,268,267,268,189
0.0,0.0,0.0,144,160,21,30,*,140
0.0,0.0,0.16666666666666663,35,36,42,46,*,25,35,41,25
0.0,0.0,0.0,28,214,220,213,*,53,42,39,241
0.0,0.0,0.0,53,55,242,247,*,189,27,248,274
0.0,0.0,0.0,42,30,31,44,*,46,245,296,285
0.0,0.0,0.0,57,29,32,35,*,70,42,72,64
0.0,0.0,0.0,35,36,44,48,*,209,221,241,189
0.0,0.0,0.0,30,31,28,44,*,202,244,54,39
0.0,0.0,0.0,180,181,184,36,*,179,35,28,30
0.0,0.0,0.0,146,202,189,30,*,46,126,158,112
0.0,0.0,0.0,45,53,241,66,*,34,220,85,146
0.0,0.0,0.0,25,45,53,241,*,135,117,322,323
0.0,0.0,0.0,42,30,31,44,*,198,154
0.0,0.0,0.33333333333333326,42,214,221,202,*,214,202,146,203
0.0,0.0,0.1428571428571428,42,28,45,53,*,28,245,253,293
